Title,Grammage,Selling Price,MRP,Discount %,Deal Tags,Quantity Bought,Rating,Reviews,Link,Ad/Not Ad,Date,Search Term,Pincode,Category
"RainFlowwer Revoshift MTB Bike Right Shift Lever, SL-RS35 6 Speed Twist Grip Gear, Handle Shifter for Mountain Bicycle",No Grammage,2326,5008,53.55,No Deal,No data,4.6,36,https://www.amazon.in/RainFlowwer-SL-RS35-6R-SL-RS35-7R-Derailleur-Transmission/dp/B0BNPH64XL/ref=sr_1_12?dib=eyJ2IjoiMSJ9.K98ZbEFg8GTc8NAnzgVoPfGK3Xka0vdmqBhuD1iXrrCVhNLdTfqK43PaXuw_62J3lRfgK8MQZXef_Y5EVy7NFdMdzq3ifZ93TGoo5-m1ghy8SnXaeSIGru-XA9vVfMU28mJkC_QztvngGGaIQlPVsH7oOWsPVRpbZgTTUjV-d5_ztp8rzmHgR1JH1kMq-i7xkoFtMGEWo-tLWguAaM3H4V5-M5SOGeBPHO4Uo-LtYdwvOAE2yTQxoEu5QaSuU1SD4G9P-roAU_0E7dLIoZLCSqdALxHlgdYO3KuywtEQunw.SQkRbMBho5nLZVY8Uyu0VYak31fptMBG55EQww13Jgo&dib_tag=se&keywords=right+shift&qid=1747638439&sr=8-12,Not Ad,19-05-2025,right shift,560005,right shift
SHIMANO Altus Right Shift Lever 7-Speed SL-M315-7R,No Grammage,4820,5019,3.96,No Deal,No data,4.8,"1,098",https://www.amazon.in/SHIMANO-Altus-Right-7-Speed-SL-M315-7R/dp/B0833BY837/ref=sr_1_13?dib=eyJ2IjoiMSJ9.K98ZbEFg8GTc8NAnzgVoPfGK3Xka0vdmqBhuD1iXrrCVhNLdTfqK43PaXuw_62J3lRfgK8MQZXef_Y5EVy7NFdMdzq3ifZ93TGoo5-m1ghy8SnXaeSIGru-XA9vVfMU28mJkC_QztvngGGaIQlPVsH7oOWsPVRpbZgTTUjV-d5_ztp8rzmHgR1JH1kMq-i7xkoFtMGEWo-tLWguAaM3H4V5-M5SOGeBPHO4Uo-LtYdwvOAE2yTQxoEu5QaSuU1SD4G9P-roAU_0E7dLIoZLCSqdALxHlgdYO3KuywtEQunw.SQkRbMBho5nLZVY8Uyu0VYak31fptMBG55EQww13Jgo&dib_tag=se&keywords=right+shift&qid=1747638439&sr=8-13,Not Ad,19-05-2025,right shift,560005,right shift
"Tata Sampann, High in Fibre Poha(Thick), 500g",500g,53,No Price,0.0,No Deal,9K+ bought in past month,4.4,"23,806",https://www.amazon.in/Tata-Sampann-Poha-Thick-500/dp/B07V3CM9L8/ref=sr_1_14_f3_0o_fs?dib=eyJ2IjoiMSJ9.K98ZbEFg8GTc8NAnzgVoPfGK3Xka0vdmqBhuD1iXrrCVhNLdTfqK43PaXuw_62J3lRfgK8MQZXef_Y5EVy7NFdMdzq3ifZ93TGoo5-m1ghy8SnXaeSIGru-XA9vVfMU28mJkC_QztvngGGaIQlPVsH7oOWsPVRpbZgTTUjV-d5_ztp8rzmHgR1JH1kMq-i7xkoFtMGEWo-tLWguAaM3H4V5-M5SOGeBPHO4Uo-LtYdwvOAE2yTQxoEu5QaSuU1SD4G9P-roAU_0E7dLIoZLCSqdALxHlgdYO3KuywtEQunw.SQkRbMBho5nLZVY8Uyu0VYak31fptMBG55EQww13Jgo&dib_tag=se&keywords=right+shift&qid=1747638439&sr=8-14,Not Ad,19-05-2025,right shift,560005,right shift
"Ubersweet® Bike Derailleur, 1 Pair Firm Lightweight Triple 3x7/8/9 Bicycle Gear Shift Derailleur Left Right Shifter for Mountain Bicycling Bicycle Shifting Split Dial Transmission 3 * 7-#1 ||",No Grammage,4668,9499,50.86,No Deal,No data,No Rating,No Reviews,https://www.amazon.in/Ubersweet%C2%AE-Derailleur-Lightweight-Bicycling-Transmission/dp/B0C1GDXTGS/ref=sr_1_15?dib=eyJ2IjoiMSJ9.K98ZbEFg8GTc8NAnzgVoPfGK3Xka0vdmqBhuD1iXrrCVhNLdTfqK43PaXuw_62J3lRfgK8MQZXef_Y5EVy7NFdMdzq3ifZ93TGoo5-m1ghy8SnXaeSIGru-XA9vVfMU28mJkC_QztvngGGaIQlPVsH7oOWsPVRpbZgTTUjV-d5_ztp8rzmHgR1JH1kMq-i7xkoFtMGEWo-tLWguAaM3H4V5-M5SOGeBPHO4Uo-LtYdwvOAE2yTQxoEu5QaSuU1SD4G9P-roAU_0E7dLIoZLCSqdALxHlgdYO3KuywtEQunw.SQkRbMBho5nLZVY8Uyu0VYak31fptMBG55EQww13Jgo&dib_tag=se&keywords=right+shift&qid=1747638439&sr=8-15,Not Ad,19-05-2025,right shift,560005,right shift
BE'BE' BURP Food Ragi Cookies -100% Natural Tasty & Healthy Cookies | No Preservatives & Artificial Flavours | Natural Sweetness Of Jaggery(Ragi 150Gm),150g,189,199,5.03,No Deal,700+ bought in past month,4.2,"1,023",https://www.amazon.in/Bebe-Burp-Childrens-Artificial-Preservatives/dp/B0C66M2VN1/ref=sr_1_16?dib=eyJ2IjoiMSJ9.K98ZbEFg8GTc8NAnzgVoPfGK3Xka0vdmqBhuD1iXrrCVhNLdTfqK43PaXuw_62J3lRfgK8MQZXef_Y5EVy7NFdMdzq3ifZ93TGoo5-m1ghy8SnXaeSIGru-XA9vVfMU28mJkC_QztvngGGaIQlPVsH7oOWsPVRpbZgTTUjV-d5_ztp8rzmHgR1JH1kMq-i7xkoFtMGEWo-tLWguAaM3H4V5-M5SOGeBPHO4Uo-LtYdwvOAE2yTQxoEu5QaSuU1SD4G9P-roAU_0E7dLIoZLCSqdALxHlgdYO3KuywtEQunw.SQkRbMBho5nLZVY8Uyu0VYak31fptMBG55EQww13Jgo&dib_tag=se&keywords=right+shift&qid=1747638439&sr=8-16,Not Ad,19-05-2025,right shift,560005,right shift
Loom Tree 11 Speed Mountain Bike Right Shifter 11S Shift Lever with Shift Cables,No Grammage,2655,4392,39.55,No Deal,No data,No Rating,No Reviews,https://www.amazon.in/Speed-Mountain-Right-Shifter-Cables/dp/B09ZKYZTRK/ref=sr_1_17?dib=eyJ2IjoiMSJ9.K98ZbEFg8GTc8NAnzgVoPfGK3Xka0vdmqBhuD1iXrrCVhNLdTfqK43PaXuw_62J3lRfgK8MQZXef_Y5EVy7NFdMdzq3ifZ93TGoo5-m1ghy8SnXaeSIGru-XA9vVfMU28mJkC_QztvngGGaIQlPVsH7oOWsPVRpbZgTTUjV-d5_ztp8rzmHgR1JH1kMq-i7xkoFtMGEWo-tLWguAaM3H4V5-M5SOGeBPHO4Uo-LtYdwvOAE2yTQxoEu5QaSuU1SD4G9P-roAU_0E7dLIoZLCSqdALxHlgdYO3KuywtEQunw.SQkRbMBho5nLZVY8Uyu0VYak31fptMBG55EQww13Jgo&dib_tag=se&keywords=right+shift&qid=1747638439&sr=8-17,Not Ad,19-05-2025,right shift,560005,right shift
Calandis 11 Speed Mountain Bike Right Shifter 11S Shift Lever with Shift Cables,No Grammage,2634,4357,39.55,No Deal,No data,No Rating,No Reviews,https://www.amazon.in/Calandis-Speed-Mountain-Shifter-Cables/dp/B09ZLJWTV3/ref=sr_1_18?dib=eyJ2IjoiMSJ9.K98ZbEFg8GTc8NAnzgVoPfGK3Xka0vdmqBhuD1iXrrCVhNLdTfqK43PaXuw_62J3lRfgK8MQZXef_Y5EVy7NFdMdzq3ifZ93TGoo5-m1ghy8SnXaeSIGru-XA9vVfMU28mJkC_QztvngGGaIQlPVsH7oOWsPVRpbZgTTUjV-d5_ztp8rzmHgR1JH1kMq-i7xkoFtMGEWo-tLWguAaM3H4V5-M5SOGeBPHO4Uo-LtYdwvOAE2yTQxoEu5QaSuU1SD4G9P-roAU_0E7dLIoZLCSqdALxHlgdYO3KuywtEQunw.SQkRbMBho5nLZVY8Uyu0VYak31fptMBG55EQww13Jgo&dib_tag=se&keywords=right+shift&qid=1747638439&sr=8-18,Not Ad,19-05-2025,right shift,560005,right shift
MTR 3 Mins Breakfast Vegetable Upma Pouch 60 g,60 g,30,No Price,0.0,No Deal,2K+ bought in past month,4.1,"5,687",https://www.amazon.in/MTR-Vegetable-Upma-Pouch-60g/dp/B06XY11QTL/ref=sr_1_19_f3_0o_fs?dib=eyJ2IjoiMSJ9.K98ZbEFg8GTc8NAnzgVoPfGK3Xka0vdmqBhuD1iXrrCVhNLdTfqK43PaXuw_62J3lRfgK8MQZXef_Y5EVy7NFdMdzq3ifZ93TGoo5-m1ghy8SnXaeSIGru-XA9vVfMU28mJkC_QztvngGGaIQlPVsH7oOWsPVRpbZgTTUjV-d5_ztp8rzmHgR1JH1kMq-i7xkoFtMGEWo-tLWguAaM3H4V5-M5SOGeBPHO4Uo-LtYdwvOAE2yTQxoEu5QaSuU1SD4G9P-roAU_0E7dLIoZLCSqdALxHlgdYO3KuywtEQunw.SQkRbMBho5nLZVY8Uyu0VYak31fptMBG55EQww13Jgo&dib_tag=se&keywords=right+shift&qid=1747638439&sr=8-19,Not Ad,19-05-2025,right shift,560005,right shift
"RiteBite Max Protein Daily Assorted Protein Bars with 10g Protein, 5g Fiber & 21 Vit. & Minerals | 0 Added Sugar, No Cholesterol & Trans Fat For Upto 2h of Energy, Healthy Snack, 50g (Pack of 6)",10g,421,440,4.32,No Deal,2K+ bought in past month,4.3,"2,444",https://www.amazon.in/RiteBite-Max-Protein-Assorted-Energy/dp/B07YPWBYF4/ref=sr_1_20_f3_0o_fs_mod_primary_alm?dib=eyJ2IjoiMSJ9.K98ZbEFg8GTc8NAnzgVoPfGK3Xka0vdmqBhuD1iXrrCVhNLdTfqK43PaXuw_62J3lRfgK8MQZXef_Y5EVy7NFdMdzq3ifZ93TGoo5-m1ghy8SnXaeSIGru-XA9vVfMU28mJkC_QztvngGGaIQlPVsH7oOWsPVRpbZgTTUjV-d5_ztp8rzmHgR1JH1kMq-i7xkoFtMGEWo-tLWguAaM3H4V5-M5SOGeBPHO4Uo-LtYdwvOAE2yTQxoEu5QaSuU1SD4G9P-roAU_0E7dLIoZLCSqdALxHlgdYO3KuywtEQunw.SQkRbMBho5nLZVY8Uyu0VYak31fptMBG55EQww13Jgo&dib_tag=se&keywords=right+shift&qid=1747638439&sbo=m6DjfpMzMLDmL8pSMKX8hw%3D%3D&sr=8-20,Not Ad,19-05-2025,right shift,560005,right shift
Evum Handmade Honey & Oat Cookies (140GM) | Healthy & Tasty Guilt free Snacks | Freshly Baked Delicious Oats & Wholewheat Cookies/Biscuits | No Maida | No Butter | No Refined Sugar | No Preservatives,140g,200,No Price,0.0,No Deal,30+ bought in past month,4.5,194,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MjI0MTgyNjAzOTgxMzk0OjE3NDc2Mzg0Mzk6c3BfbXRmOjMwMDQ4NjY2NjEzNDQzMjo6MDo6&url=%2FHandmade-Cookies-Delicious-Wholewheat-Preservatives%2Fdp%2FB09W1G5FKM%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.K98ZbEFg8GTc8NAnzgVoPfGK3Xka0vdmqBhuD1iXrrCVhNLdTfqK43PaXuw_62J3lRfgK8MQZXef_Y5EVy7NFdMdzq3ifZ93TGoo5-m1ghy8SnXaeSIGru-XA9vVfMU28mJkC_QztvngGGaIQlPVsH7oOWsPVRpbZgTTUjV-d5_ztp8rzmHgR1JH1kMq-i7xkoFtMGEWo-tLWguAaM3H4V5-M5SOGeBPHO4Uo-LtYdwvOAE2yTQxoEu5QaSuU1SD4G9P-roAU_0E7dLIoZLCSqdALxHlgdYO3KuywtEQunw.SQkRbMBho5nLZVY8Uyu0VYak31fptMBG55EQww13Jgo%26dib_tag%3Dse%26keywords%3Dright%2Bshift%26qid%3D1747638439%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Ad,19-05-2025,right shift,560005,right shift
