Title,Grammage,Selling Price,MRP,Discount %,Deal Tags,Quantity Bought,Rating,Reviews,Link,Ad/Not Ad,Date,Search Term,Pincode,Category
"sugar.fit Active Sugar Control Atta 5Kg, 8-In-1 Multigrain Atta Flours Sharbati Wheat, Soybean, Black Chana, Ragi, Barley, Fenugreek, Flax Seed & Horse Gram",5kg,799,1000,20.1,No Deal,2K+ bought in past month,4.1,670,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTM0MDI2NDA0NDMzMzEyOjE3NDczODAwNjc6c3BfYXRmOjMwMDU0ODUyNTY2NTQzMjo6MDo6&url=%2FSugar-Fit-Control-Multigrain-Soybean-Fenugreek%2Fdp%2FB0CLTZH4F1%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.lLI79KZGXZSCTbsPqz3MYlO3xBbPv5DN4gc0uBmiSuUkh2OkVTF8y_6PWlJvjqktaQLdWX2ASEWSX9TV3jlw_uzv-KqDWtj4KMzn-bqxxECZY9QS_MwUFhmB-DwQ7vctGmjdEV176G3hxWwPBlgBTmLYyWA6RpCFQFJsE5FA15UwhmM3d_2cbefJL-N84sCpnArnJG9NReYi141TRobKXDHsdUMXQ2_HkH0twgFJ5lraDtafKlagAugcol6G2KqXhLUVL8darhZj-3ftqVZxYY-qq0BKmCjs9iTRFLTRWCA.C7UFmSTQ8YrKmOjfmY5JYGzPy-ccsTultM1f6yMZMYA%26dib_tag%3Dse%26keywords%3Datta%26qid%3D1747380067%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Ad,16-05-2025,atta,400076,atta
Two Brothers Organic Farms - Khapli Wheat Flour (5kg) | Wheat Flour | High Dietary Fiber for Easy Digestion | Stoneground Emmer Wheat Flour | Khapli Atta,5kg,1139,1199,5.0,No Deal,4K+ bought in past month,4.1,"2,407",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTM0MDI2NDA0NDMzMzEyOjE3NDczODAwNjc6c3BfYXRmOjMwMDI3NTc1ODY1MjAzMjo6MDo6&url=%2FBrothers-Organic-Ancient-Heirloom-Stoneground%2Fdp%2FB0895WH7H6%2Fref%3Dsr_1_2_f3_0o_fs_sspa%3Fdib%3DeyJ2IjoiMSJ9.lLI79KZGXZSCTbsPqz3MYlO3xBbPv5DN4gc0uBmiSuUkh2OkVTF8y_6PWlJvjqktaQLdWX2ASEWSX9TV3jlw_uzv-KqDWtj4KMzn-bqxxECZY9QS_MwUFhmB-DwQ7vctGmjdEV176G3hxWwPBlgBTmLYyWA6RpCFQFJsE5FA15UwhmM3d_2cbefJL-N84sCpnArnJG9NReYi141TRobKXDHsdUMXQ2_HkH0twgFJ5lraDtafKlagAugcol6G2KqXhLUVL8darhZj-3ftqVZxYY-qq0BKmCjs9iTRFLTRWCA.C7UFmSTQ8YrKmOjfmY5JYGzPy-ccsTultM1f6yMZMYA%26dib_tag%3Dse%26keywords%3Datta%26qid%3D1747380067%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Ad,16-05-2025,atta,400076,atta
Pure & Sure Green/Raw Jackfruit Flour (Atta) 500G | 100% Naturally Processed Kathal Atta | Gluten Free | No Preservatives & No Trans Fats | Helps Control Blood Sugar levels,500g,290,No Price,0.0,No Deal,500+ bought in past month,3.8,138,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTM0MDI2NDA0NDMzMzEyOjE3NDczODAwNjc6c3BfYXRmOjMwMDQ0NDk2NTIyMzQzMjo6MDo6&url=%2FPure-Sure-Organic-Jackfruit-Preservatives%2Fdp%2FB09BFW8R4G%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.lLI79KZGXZSCTbsPqz3MYlO3xBbPv5DN4gc0uBmiSuUkh2OkVTF8y_6PWlJvjqktaQLdWX2ASEWSX9TV3jlw_uzv-KqDWtj4KMzn-bqxxECZY9QS_MwUFhmB-DwQ7vctGmjdEV176G3hxWwPBlgBTmLYyWA6RpCFQFJsE5FA15UwhmM3d_2cbefJL-N84sCpnArnJG9NReYi141TRobKXDHsdUMXQ2_HkH0twgFJ5lraDtafKlagAugcol6G2KqXhLUVL8darhZj-3ftqVZxYY-qq0BKmCjs9iTRFLTRWCA.C7UFmSTQ8YrKmOjfmY5JYGzPy-ccsTultM1f6yMZMYA%26dib_tag%3Dse%26keywords%3Datta%26qid%3D1747380067%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Ad,16-05-2025,atta,400076,atta
TRIVAA ORGANICS 100% Whole Wheat Atta - (Premium MP Sharbati) | 1 KG Pack | Freshly Milled After Order | Hand Picked Grains | Low temperature Griding | High Fiber | High Protein | Fine Texture | 0% Maida | No Preservatives | 90-Days Shelf Life | Chemical & Pesticide Free,1 kg,89,No Price,0.0,No Deal,No data,No Rating,No Reviews,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTM0MDI2NDA0NDMzMzEyOjE3NDczODAwNjc6c3BfYXRmOjMwMDU2MDI4MTM5MzYzMjo6MDo6&url=%2FTRIVAA-ORGANICS-100-Whole-Wheat%2Fdp%2FB0F1MR37PR%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.lLI79KZGXZSCTbsPqz3MYlO3xBbPv5DN4gc0uBmiSuUkh2OkVTF8y_6PWlJvjqktaQLdWX2ASEWSX9TV3jlw_uzv-KqDWtj4KMzn-bqxxECZY9QS_MwUFhmB-DwQ7vctGmjdEV176G3hxWwPBlgBTmLYyWA6RpCFQFJsE5FA15UwhmM3d_2cbefJL-N84sCpnArnJG9NReYi141TRobKXDHsdUMXQ2_HkH0twgFJ5lraDtafKlagAugcol6G2KqXhLUVL8darhZj-3ftqVZxYY-qq0BKmCjs9iTRFLTRWCA.C7UFmSTQ8YrKmOjfmY5JYGzPy-ccsTultM1f6yMZMYA%26dib_tag%3Dse%26keywords%3Datta%26qid%3D1747380067%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Ad,16-05-2025,atta,400076,atta
"Aashirvaad Superior MP Atta, 10kg, 100% Whole Wheat Flour, 0% Maida",10kg,533,606,12.05,No Deal,8K+ bought in past month,4.4,"25,828",https://www.amazon.in/Aashirvaad-Atta-Superior-10kg-Bag/dp/B075757RDZ/ref=sr_1_5_f3_0o_fs?dib=eyJ2IjoiMSJ9.lLI79KZGXZSCTbsPqz3MYlO3xBbPv5DN4gc0uBmiSuUkh2OkVTF8y_6PWlJvjqktaQLdWX2ASEWSX9TV3jlw_uzv-KqDWtj4KMzn-bqxxECZY9QS_MwUFhmB-DwQ7vctGmjdEV176G3hxWwPBlgBTmLYyWA6RpCFQFJsE5FA15UwhmM3d_2cbefJL-N84sCpnArnJG9NReYi141TRobKXDHsdUMXQ2_HkH0twgFJ5lraDtafKlagAugcol6G2KqXhLUVL8darhZj-3ftqVZxYY-qq0BKmCjs9iTRFLTRWCA.C7UFmSTQ8YrKmOjfmY5JYGzPy-ccsTultM1f6yMZMYA&dib_tag=se&keywords=atta&qid=1747380067&sr=8-5,Not Ad,16-05-2025,atta,400076,atta
"Fortune Chakki Fresh Atta, 5 kg, 100% Atta 0% Maida",5 kg,277,No Price,0.0,No Deal,10K+ bought in past month,4.4,"16,200",https://www.amazon.in/Fortune-Chakki-Fresh-Atta-5kg/dp/B07CBKR1L7/ref=sr_1_6_f3_0o_fs?dib=eyJ2IjoiMSJ9.lLI79KZGXZSCTbsPqz3MYlO3xBbPv5DN4gc0uBmiSuUkh2OkVTF8y_6PWlJvjqktaQLdWX2ASEWSX9TV3jlw_uzv-KqDWtj4KMzn-bqxxECZY9QS_MwUFhmB-DwQ7vctGmjdEV176G3hxWwPBlgBTmLYyWA6RpCFQFJsE5FA15UwhmM3d_2cbefJL-N84sCpnArnJG9NReYi141TRobKXDHsdUMXQ2_HkH0twgFJ5lraDtafKlagAugcol6G2KqXhLUVL8darhZj-3ftqVZxYY-qq0BKmCjs9iTRFLTRWCA.C7UFmSTQ8YrKmOjfmY5JYGzPy-ccsTultM1f6yMZMYA&dib_tag=se&keywords=atta&qid=1747380067&sr=8-6,Not Ad,16-05-2025,atta,400076,atta
"Fortune Chakki Fresh Atta, 10 kg, 100% Atta 0% Maida",10 kg,458,530,13.58,No Deal,10K+ bought in past month,4.3,"17,301",https://www.amazon.in/Fortune-Chakki-Fresh-Atta-10kg/dp/B07DCPKZHZ/ref=sr_1_7_f3_0o_fs?dib=eyJ2IjoiMSJ9.lLI79KZGXZSCTbsPqz3MYlO3xBbPv5DN4gc0uBmiSuUkh2OkVTF8y_6PWlJvjqktaQLdWX2ASEWSX9TV3jlw_uzv-KqDWtj4KMzn-bqxxECZY9QS_MwUFhmB-DwQ7vctGmjdEV176G3hxWwPBlgBTmLYyWA6RpCFQFJsE5FA15UwhmM3d_2cbefJL-N84sCpnArnJG9NReYi141TRobKXDHsdUMXQ2_HkH0twgFJ5lraDtafKlagAugcol6G2KqXhLUVL8darhZj-3ftqVZxYY-qq0BKmCjs9iTRFLTRWCA.C7UFmSTQ8YrKmOjfmY5JYGzPy-ccsTultM1f6yMZMYA&dib_tag=se&keywords=atta&qid=1747380067&sr=8-7,Not Ad,16-05-2025,atta,400076,atta
"Aashirvaad Select Sharbati Atta, 5 kg, Premium 100% MP Sharbati Wheat Atta for softer rotis",5 kg,299,373,19.84,No Deal,20K+ bought in past month,4.5,"16,888",https://www.amazon.in/Aashirvaad-Select-Superior-Sharbati-Atta/dp/B00HUJQIZK/ref=sr_1_8_f3_0o_fs?dib=eyJ2IjoiMSJ9.lLI79KZGXZSCTbsPqz3MYlO3xBbPv5DN4gc0uBmiSuUkh2OkVTF8y_6PWlJvjqktaQLdWX2ASEWSX9TV3jlw_uzv-KqDWtj4KMzn-bqxxECZY9QS_MwUFhmB-DwQ7vctGmjdEV176G3hxWwPBlgBTmLYyWA6RpCFQFJsE5FA15UwhmM3d_2cbefJL-N84sCpnArnJG9NReYi141TRobKXDHsdUMXQ2_HkH0twgFJ5lraDtafKlagAugcol6G2KqXhLUVL8darhZj-3ftqVZxYY-qq0BKmCjs9iTRFLTRWCA.C7UFmSTQ8YrKmOjfmY5JYGzPy-ccsTultM1f6yMZMYA&dib_tag=se&keywords=atta&qid=1747380067&sr=8-8,Not Ad,16-05-2025,atta,400076,atta
Pillsbury Chakki Fresh Whole Wheat Atta | 100% Wheat Atta| Upto 6 hours of Softness| 5kg,5kg,246,300,18.0,No Deal,6K+ bought in past month,4.3,"6,956",https://www.amazon.in/Pillsbury-Chakki-Fresh-Atta-5kg/dp/B00AK8J4QS/ref=sr_1_9_f3_0o_fs?dib=eyJ2IjoiMSJ9.lLI79KZGXZSCTbsPqz3MYlO3xBbPv5DN4gc0uBmiSuUkh2OkVTF8y_6PWlJvjqktaQLdWX2ASEWSX9TV3jlw_uzv-KqDWtj4KMzn-bqxxECZY9QS_MwUFhmB-DwQ7vctGmjdEV176G3hxWwPBlgBTmLYyWA6RpCFQFJsE5FA15UwhmM3d_2cbefJL-N84sCpnArnJG9NReYi141TRobKXDHsdUMXQ2_HkH0twgFJ5lraDtafKlagAugcol6G2KqXhLUVL8darhZj-3ftqVZxYY-qq0BKmCjs9iTRFLTRWCA.C7UFmSTQ8YrKmOjfmY5JYGzPy-ccsTultM1f6yMZMYA&dib_tag=se&keywords=atta&qid=1747380067&sr=8-9,Not Ad,16-05-2025,atta,400076,atta
"Aashirvaad Atta with Multigrains, 5kg pack, The High Fibre Atta",5kg,324,386,16.06,No Deal,10K+ bought in past month,4.4,"16,588",https://www.amazon.in/Aashirvaad-Atta-Multigrains-5-kg/dp/B009BA7S8M/ref=sr_1_10_f3_0o_fs?dib=eyJ2IjoiMSJ9.lLI79KZGXZSCTbsPqz3MYlO3xBbPv5DN4gc0uBmiSuUkh2OkVTF8y_6PWlJvjqktaQLdWX2ASEWSX9TV3jlw_uzv-KqDWtj4KMzn-bqxxECZY9QS_MwUFhmB-DwQ7vctGmjdEV176G3hxWwPBlgBTmLYyWA6RpCFQFJsE5FA15UwhmM3d_2cbefJL-N84sCpnArnJG9NReYi141TRobKXDHsdUMXQ2_HkH0twgFJ5lraDtafKlagAugcol6G2KqXhLUVL8darhZj-3ftqVZxYY-qq0BKmCjs9iTRFLTRWCA.C7UFmSTQ8YrKmOjfmY5JYGzPy-ccsTultM1f6yMZMYA&dib_tag=se&keywords=atta&qid=1747380067&sr=8-10,Not Ad,16-05-2025,atta,400076,atta
